#word	meanc
a	260
a-wing	0
aback	0
aback	0
abacus	0
abandon	0
abandon	0
abandoned	0
abandoned	0
abandoned	0
abandoned	0
abase	0
abash	0
abate	0
abate	0
abbe	0
abbess	218
abbey	0
abbot	0
abbreviate	0
abbreviate	0
abbreviate	0
abbreviate	0
abbreviation	0
abc	0
abdicate	0
abdication	277
abdomen	0
abdominal	0
abdominal	0
abduction	390
abed	0
aberrant	0
aberration	0
abet	0
abet	0
abhor	327
abhorrent	0
abhorrent	0
abide	0
abiding	0
abiding	0
abigail	0
ability	0
abject	0
abject	0
abject	0
abject	0
abjection	0
abjure	0
ablation	0
ablaze	0
ablaze	0
able	355
able	355
ablution	0
ably	0
abnormal	0
aboard	0
aboard	0
aboard	0
aboard	0
abode	419
abode	419
abode	419
abolish	0
abolitionist	0
abominable	0
abominable	0
abomination	0
aboriginal	290
aboriginal	290
aborigines	0
abortion	0
abortive	0
abortive	0
abortive	0
abound	0
about	300
about	300
about	300
above	0
above	0
above	0
above	0
abraham	0
abraham	0
abrasion	0
abreast	0
abridgement	0
abridgment	0
abroad	0
abroad	0
abroad	0
abrupt	439
abrupt	439
abrupt	439
abruptly	0
abscess	0
absence	0
absent	0
absent	0
absent	0
absentee	0
absentee	0
absolute	0
absolute	0
absolute	0
absolutely	0
absoluteness	0
absolve	0
absorb	0
absorbed	0
absorbed	0
absorbency	0
absorbent	0
absorbent	0
absorbing	0
absorption	0
absorptive	0
abstain	0
abstention	0
abstract	0
abstract	0
abstract	0
abstract	0
abstracted	0
abstracted	0
abstracted	0
abstracted	0
abstractedly	0
abstracting	0
abstraction	0
abstractive	0
abstractive	0
abstractly	0
abstruse	0
absurd	0
absurd	0
absurdity	0
abundant	495
abundant	495
abuse	0
abuse	0
abusive	0
abysmal	0
abyss	323
abyss	323
ac	0
acacia	0
academic	0
academic	0
academical	0
academical	0
academically	0
academician	0
academy	421
academy	421
accede	0
accede	0
accelerate	0
accelerate	0
accelerator	0
accent	0
accent	0
accented	0
accented	0
accents	0
accentual	0
accentuate	0
accept	0
accept	0
acceptable	0
accepted	0
accepted	0
accepting	0
accepts	0
accessible	0
accession	0
accessory	0
accessory	0
accident	0
accident	0
accidental	0
accidental	0
accidentally	0
acclaim	0
accolade	0
accommodate	0
accommodate	0
accommodation	0
accompanied	0
accompanied	0
accompaniment	0
accompanist	0
accompany	0
accomplice	345
accomplish	0
accomplished	0
accomplished	0
accomplished	0
accomplished	0
accomplishment	0
accord	307
accord	307
accord	307
accord	307
accordance	0
according	0
according	0
according	0
accordingly	0
accordion	352
accordion	352
accost	0
accost	0
account	392
account	392
account	392
accountability	0
accountable	0
accountant	0
accountant	0
accounts	0
accredit	0
accretion	0
accrue	0
accrue	0
accumulate	0
accumulate	0
accumulation	0
accuracy	0
accurate	0
accurately	0
accursed	0
accusation	0
accuse	0
accuse	0
accused	0
accused	0
accuser	0
accustom	0
accustom	0
accustomed	0
accustomed	0
accustomed	0
accustomed	0
ace	0
ace	0
acetate	0
acetone	0
ache	484
ache	484
ache	484
achieve	0
achieved	0
achieved	0
achievement	0
aching	0
acid	0
acid	0
acidulous	0
acknowledge	426
acknowledgement	0
acknowledgment	0
acolyte	0
acorn	0
acoustic	0
acoustic	0
acoustics	0
acquaint	0
acquaint	0
acquaint	0
acquaintance	0
acquainted	0
acquainted	0
acquainted	0
acquiesce	0
acquiescence	0
acquire	0
acquired	0
acquired	0
acquisition	0
acquisitiveness	0
acquit	0
acquit	0
acquit	0
acquittal	0
acre	0
acrid	0
acrimonious	0
acrobat	420
acrobatic	0
across	0
across	0
act	431
act	431
act	431
acted	0
acted	0
acting	0
acting	0
acting	0
action	0
action	0
activate	0
activates	0
active	0
activity	0
actor	0
actress	0
acts	0
actual	0
actuality	0
actually	0
actuarial	0
actuate	0
actuate	0
acute	0
acute	0
acute	0
ad	0
ad	0
ad	0
adage	0
adagio	0
adagio	0
adagio	0
adam	0
adamant	0
adamant	0
adamantine	0
adapt	0
adapt	0
adaptable	0
adaptation	0
adapter	0
add	0
added	0
added	0
adder	0
addict	0
addict	0
addict	0
addicted	0
addicted	0
addicted	0
addiction	0
adding	0
addition	405
addition	405
additional	0
additional	0
additive	0
additive	0
address	0
address	0
addressed	0
addressed	0
addressed	0
addressing	0
adduce	0
adept	0
adept	0
adequate	0
adequate	0
adhere	0
adherence	0
adherent	0
adherent	0
adhesion	0
adhesive	0
adhesive	0
adieu	0
adieu	0
adieu	0
adipic	0
adjacent	0
adjacent	0
adjectival	0
adjective	392
adjective	392
adjective	392
adjoin	0
adjourn	0
adjournment	0
adjudge	0
adjudicate	0
adjudication	0
adjunct	0
adjunct	0
adjure	0
adjust	0
adjuster	0
adjustment	0
administer	0
administer	0
administered	0
administered	0
administration	0
administrative	0
administrator	0
admirable	0
admirable	0
admiral	381
admiral	381
admiralty	0
admire	457
admire	457
admirer	0
admissible	0
admission	0
admit	0
admitted	0
admitted	0
admittedly	0
admitting	0
admonish	292
admonition	0
ado	0
ado	0
adobe	0
adolescent	0
adolescent	0
adonis	0
adopt	0
adopted	0
adopted	0
adopting	0
adoption	0
adorable	0
adore	0
adorn	355
adorn	355
adorn	355
adornment	0
adown	0
adown	0
adrenal	0
adrenal	0
adrian	0
adrian	0
adriatic	0
adrift	0
adrift	0
adroit	0
adroit	0
adult	543
adult	543
adulterate	0
adulterate	0
adulteration	0
adulterous	0
adultery	0
advance	0
advance	0
advance	0
advanced	0
advanced	0
advanced	0
advanced	0
advantage	0
advantage	0
advantage	0
advantageous	0
advantages	0
advent	0
adventitious	0
adventure	0
adventure	0
adventurer	0
adventurous	0
adverb	322
adverb	322
adverbial	0
adverbial	0
adversary	0
adversary	0
adversary	0
adverse	0
adverse	0
adversity	0
advert	0
advert	0
advertise	0
advertised	0
advertised	0
advertisement	0
advertiser	0
advertising	0
adverts	0
advice	0
advisable	0
advise	0
advised	0
advised	0
advised	0
advised	0
advisement	0
adviser	0
advises	0
advisor	0
advisory	0
advocacy	0
advocate	0
advocate	0
adze	164
adze	164
aegean	0
aegis	0
aegis	0
aeon	0
aerate	0
aeration	0
aerator	0
aerial	0
aerial	0
aerodynamic	0
aeronautical	0
aeroplane	0
aeroplane	0
aesthetic	0
afar	0
afeard	0
afeard	0
affable	0
affair	0
affect	0
affect	0
affect	0
affectation	0
affected	0
affected	0
affected	0
affected	0
affecting	0
affecting	0
affecting	0
affection	0
affection	0
affectionate	0
affectionate	0
affectionately	0
affects	0
afferent	0
affidavit	0
affied	0
affiliate	0
affiliate	0
affiliate	0
affiliation	0
affinity	0
affirm	0
affirmation	0
affirmative	0
affirmative	0
affix	0
affix	0
afflict	0
afflict	0
afflict	0
affliction	0
affluent	0
affluent	0
afford	0
affright	0
affright	0
affright	0
affront	0
affront	0
affronts	0
afield	0
afire	0
afire	0
aflame	0
aflame	0
afloat	0
afloat	0
afoot	0
afoot	0
afore	0
afore	0
afore	0
aforesaid	0
aforethought	0
aforethought	0
aforethought	0
aforetime	0
aforetime	0
aforetime	0
afraid	507
afraid	507
afresh	0
african	0
african	0
aft	0
after	302
after	302
after	302
after	302
aftermath	0
afternoon	0
afternoon	0
afterthought	0
afterward	0
afterwards	0
aga	0
again	0
again	0
again	0
against	0
against	0
against	0
agate	0
agate	0
age	428
age	428
aged	0
aged	0
aged	0
aged	0
agency	0
agenda	0
agent	0
agent	0
ages	0
agglomerate	0
agglomerate	0
agglomerate	0
agglomeration	0
agglutination	0
aggravate	0
aggravate	0
aggregate	0
aggregate	0
aggregate	0
aggregate	0
aggregation	0
aggress	244
aggress	244
aggression	0
aggressive	0
aggressive	0
aggressor	0
aggrieve	0
aghast	0
aghast	0
agile	436
agitate	0
agitation	0
agitator	0
agleam	0
aglow	0
aglow	0
agnomen	0
ago	0
ago	0
ago	0
ago	0
agone	0
agone	0
agonize	0
agonizing	0
agony	485
agrarian	0
agrarian	0
agree	0
agree	0
agree	0
agreeable	0
agreed	0
agreed	0
agreement	0
agrees	0
agricultural	0
aground	0
aground	0
ague	0
ague	0
ah	322
aha	0
aha	0
ahead	0
ahead	0
ahem	0
ai	0
aid	433
aid	433
aide	0
aids	0
ail	302
ail	302
ailing	0
ailment	0
aim	383
aim	383
aimed	0
aimed	0
aiming	0
ain't	0
air	497
air	497
air	497
airborne	0
airbrake	0
airedale	0
airfield	0
airily	0
airing	0
airing	0
airplane	0
airport	0
airship	0
airtight	0
airy	353
airy	353
aisle	400
ajar	0
ajar	0
akin	0
akin	0
al	0
ala	0
alabaster	0
alack	0
alack	0
alan	0
alarm	0
alarm	0
alarm	0
alarmist	0
alas	0
alastor	0
albacore	0
albanian	0
albanian	0
albatross	0
albeit	0
albert	0
albino	0
album	0
albumin	205
alcade	0
alchemist	0
alchemy	0
alcohol	535
alcoholic	0
alcoholic	0
alcoholic	0
alcove	0
ale	410
alec	0
alert	430
alert	430
alert	430
alert	430
alexander	0
alexander	0
alfresco	0
alfresco	0
algebra	0
algebraic	0
algerian	0
algerian	0
algorithm	0
alias	0
alias	0
alibi	0
alibi	0
alien	422
alien	422
alien	422
alienate	0
alienate	0
alienate	0
alight	0
alight	0
alight	0
align	0
align	0
alignment	0
alike	0
alike	0
alimentary	0
alive	0
alive	0
alive	0
alizarin	0
alkali	0
alkaline	0
alkaline	0
alkaloid	0
alkaloid	0
all	513
all	513
all	513
all	513
all	513
allah	0
allan	0
allay	0
allay	0
allegation	0
allege	0
alleged	0
alleged	0
allegoric	0
allegorical	0
allegory	0
allegro	0
allegro	0
allegro	0
allergic	0
allergy	0
alleviate	0
alleviate	0
alleviation	0
alley	418
alliance	0
alliance	0
allied	0
allied	0
allied	0
allied	0
allies	0
alligator	425
alliterative	0
allocate	0
allocate	0
allocation	0
allophone	0
allot	0
allotment	0
allow	368
allowable	0
allowance	0
allowance	0
allowed	0
allowed	0
allowed	0
allowing	0
allows	0
alloy	0
alloy	0
alloy	0
allude	0
allure	0
allure	0
allurement	0
allusion	0
alluvial	0
ally	0
ally	0
ally	0
alma	0
almagest	0
almanac	0
almighty	0
almond	0
almost	0
almost	0
alms	0
almshouse	0
aloe	0
aloft	0
aloft	0
aloft	0
alone	460
alone	460
along	0
along	0
along	0
alongside	0
alongside	0
aloof	0
aloof	0
aloof	0
aloud	0
alpha	0
alphabet	0
alphabet	0
alphabetic	0
alphabetical	0
alpine	0
already	0
already	0
alright	0
alright	0
alright	0
alright	0
alright	0
alsatian	0
alsatian	0
also	333
altar	0
alter	447
alteration	0
altercation	0
altered	0
altered	0
alternate	0
alternate	0
alternate	0
alternate	0
alternately	0
alternation	0
alternative	0
alternative	0
although	270
altitude	0
alto	0
alto	0
altogether	0
altogether	0
altogether	0
altruism	0
altruistic	0
aluminum	381
alveolar	0
alveolar	0
always	421
am	242
am	242
amain	0
amalgam	0
amalgam	0
amalgam	0
amalgamate	0
amalgamate	0
amalgamated	0
amalgamated	0
amalgamation	0
amass	0
amateur	0
amateur	0
amateurish	0
amatory	0
amatory	0
amaze	0
amaze	0
amazed	0
amazed	0
amazed	0
amazes	0
amazing	0
amazing	0
amazing	0
amazing	0
amazingly	0
amazon	0
amazon	0
ambassador	392
amber	0
amber	0
ambidextrous	0
ambiguity	0
ambiguous	0
ambition	417
ambition	417
ambitious	0
ambitious	0
ambivalent	0
amble	0
amble	0
ambler	0
ambrose	0
ambrosial	0
ambulance	0
ambulance	0
ambulatory	0
ambulatory	0
ambuscade	0
ambuscade	0
ambush	0
ambush	0
ameliorate	0
amen	0
amen	0
amen	0
amen	0
amenable	0
amend	0
amendment	0
amends	0
amends	0
amenity	0
american	0
american	0
amethyst	0
amethyst	0
amethystine	0
amiable	0
amicable	0
amid	0
amid	0
amide	0
amidships	0
amidst	0
amidst	0
amiss	0
amiss	0
amiss	0
ammoniac	0
ammoniac	0
ammonium	0
ammonium	0
ammunition	0
ammunition	0
amnesty	0
among	0
among	0
amongst	0
amoral	0
amorist	0
amorous	0
amorphous	0
amortization	0
amortize	0
amount	0
amount	0
amounts	0
amour	0
ampere	231
amphibian	0
amphibian	0
amphibious	0
amphibology	0
amphitheatre	0
ample	0
ample	0
amplification	0
amplifier	0
amplify	0
amplifying	0
amputate	0
amulet	0
amuse	416
amused	0
amused	0
amusement	0
amuses	0
amusing	0
amusing	0
an	153
an	153
an	153
an	153
ana	0
ana	0
ana	0
anabaptist	0
anabaptist	0
anachronism	0
anaconda	0
anaesthetic	0
anaesthetic	0
anagram	0
anagram	0
analeptic	0
analeptic	0
analog	0
analogous	0
analogue	0
analogy	0
analyse	0
analyse	0
analyst	0
analytic	0
analytic	0
analytical	0
anarchic	0
anarchical	0
anarchist	0
anarchist	0
anastomosis	0
anastomotic	0
anathema	0
anathema	0
anatomic	0
anatomical	0
anatomist	0
ancestor	0
ancestral	0
ancestry	0
ancestry	0
anchor	390
anchor	390
anchorage	0
anchored	0
anchored	0
anchored	0
anchoring	0
anchoring	0
anchorite	0
anchovy	0
ancient	0
ancient	0
anciently	0
ancillary	0
and	290
and	290
and	290
and	290
andean	0
andrew	0
anecdotal	0
anecdote	0
anele	184
anemone	0
anemone	0
anesthetic	0
anesthetic	0
anew	0
anew	0
angel	0
angel	0
angelic	0
angelica	0
angelina	0
anger	489
angle	390
angle	390
angler	0
angles	0
anglican	0
anglican	0
anglicanism	0
anglicized	0
anglicized	0
angling	0
angling	0
anglo-saxon	0
anglo-saxon	0
angola	0
angry	0
anguish	0
angular	0
anhydrous	0
aniline	0
aniline	0
animal	0
animal	0
animate	0
animate	0
animate	0
animate	0
animated	0
animated	0
animated	0
animosity	0
anion	0
anise	0
ankle	0
anna	0
annal	0
annal	0
annalist	0
annals	0
annals	0
anneal	193
annex	0
annex	0
annexes	0
annihilate	0
annihilate	0
anniversary	0
anniversary	0
announce	0
announced	0
announced	0
announcement	0
announcer	0
annoy	0
annoy	0
annoyance	0
annoyed	0
annoyed	0
annoying	0
annoying	0
annual	0
annual	0
annuity	0
annul	0
annum	0
anode	0
anoint	0
anoint	0
anomalous	0
anomaly	0
anonymous	0
anorthic	0
another	0
another	0
answer	466
answer	466
answerable	0
