dyad,task,task_order,creativity_score,LEXDIVD_essay,FRSLacsm_essay,PRES_essay,PrivateVerb_essay,TAALES.meaningfulness_colorado_average_essay
s11s12,antenna,third,16.0465,96,1.540503883,26,0.763358779,353.4562044
s11s12,chair,second,17.4095,102,1.783380307,31,1.716738197,365.2895522
s11s12,pipe,first,9.9735,75,1.83509164,27,2.046783626,362.1782946
s13s14,antenna,first,16.126,102,1.95042831,71,0.24968789,347.656304
s13s14,chair,third,18.2805,76,1.934601037,38,0.932090546,354.2849558
s13s14,pipe,second,9.227,72,2.134124306,23,1.742160279,364.9642857
s15s16,antenna,third,18.674,159,1.83840732,88,1.31147541,356.4489545
s15s16,chair,first,16.502,123,1.877631615,72,1.31040131,365.989547
s15s16,pipe,second,18.241,153,1.846683015,77,1.512738854,374.2044393
s17s18,antenna,first,13.9615,72,2.049775769,70,0.963222417,345.2142857
s17s18,chair,third,8.715,52,2.196068469,56,2.037845706,354.5282258
s17s18,pipe,second,11.409,52,2.112424955,35,1.487603306,358.7021739
s19s20,antenna,first,14.499,91,1.954166189,62,1.233616037,347.8734322
s19s20,chair,second,12.307,81,2.023015096,47,0.863309353,350.8199609
s19s20,pipe,third,12.7445,82,2.001880411,42,1.670951157,357.3951049
s1s2,antenna,third,11.397,117,1.845460472,35,1.109057301,345.8063584
s1s2,chair,first,10.466,83,1.975997903,68,1.314708299,345.2512019
s1s2,pipe,second,11.431,80,1.946449572,67,1.279069767,349.1453125
s21s22,antenna,first,16.4995,116,1.908826823,76,1.630434783,355.0222222
s21s22,chair,third,18.674,115,1.989589507,117,1.300479124,369.0009843
s21s22,pipe,second,16.482,108,1.937753662,51,2.461538462,371.4552058
s23s24,antenna,second,19.129,141,1.962424026,81,0.746268657,349.7599545
s23s24,chair,third,17.004,127,1.850634438,71,1.54185022,364.5613609
s23s24,pipe,first,20.4525,123,1.949920614,104,1.785714286,360.3433628
s25s26,antenna,third,13.148,107,2.018760776,66,1.684532925,339.8676123
s25s26,chair,second,10.511,63,2.188315332,52,0.758725341,345.3828452
s25s26,pipe,first,12.317,71,2.017111483,79,1.467505241,345.8103187
s27s28,antenna,second,16.161,121,1.876437967,74,1.774042951,350.4475219
s27s28,chair,first,17.4195,106,1.879847668,65,1.517706577,368.2004717
s27s28,pipe,third,17.38,129,1.838975085,67,1.270417423,362.7580645
s29s30,antenna,third,9.239,85,1.981031277,49,1.247401247,331.9142857
s29s30,chair,first,7.874,61,2.19774752,65,1.151631478,351.3802281
